feature,gain_importance_mean,gain_importance_std,split_importance_mean,split_importance_std,perm_importance_mean,perm_importance_std,gain_importance_norm_mean,split_importance_norm_mean,perm_importance_norm_mean,validation_roc_auc_mean,feature_family,consolidated_score,consolidated_rank,gain_rank,split_rank,perm_rank,is_zero_importance,is_near_zero_importance,importance_bucket
dualband,78.4302791595459,35.94006524787295,2.4,1.140175425099138,9.014063472475946e-05,0.00017609988089209718,0.0011122000425536046,0.0016,0.0008481169924288822,0.687002344113593,Original Features,0.0011867723449941624,84,81,66,69,False,False,signal
mou_rvce_Mean,69.99078006744385,41.597774064226876,3.4,2.1908902300206643,-7.207250453953318e-05,0.00023519987996300628,0.0009900254764453823,0.002266666666666667,0.00028561354927425823,0.687002344113593,Original Features,0.001180768564128769,85,86,62,159,False,False,signal
adjrev_log,63.47689971923828,14.162264104941569,3.2,0.44721359549995787,5.6404568770044664e-05,0.0001216012419398239,0.0008988933197984428,0.0021333333333333334,0.0004925295871012179,0.687002344113593,Log Features,0.0011749187467443316,86,88,63,82,False,False,signal
blck_vce_Mean,56.82378044128418,22.2295392066889,3.0,0.9999999999999999,6.813885258036834e-05,0.000124801401344832,0.0008045063509398177,0.002,0.0005682242842738163,0.687002344113593,Original Features,0.0011242435450712113,87,90,64,78,False,False,signal
adjmou,70.92416019439698,31.455763196952542,2.8,1.0954451150103324,-2.7268875445588903e-05,0.00015608356681737012,0.0010046587047740732,0.0018666666666666664,0.00029574548367162807,0.687002344113593,Original Features,0.0010556902850374558,88,85,65,143,False,False,signal
callwait_Mean,54.81907997131348,38.30790031927313,3.0,2.1213203435596424,-3.1135855337619904e-05,0.00015447081287321322,0.0007740096897246279,0.0019999999999999996,0.0002207404797339281,0.687002344113593,Original Features,0.000998250056486185,89,94,64,144,False,True,near_zero
totrev_log,56.65437984466553,21.13952033018722,2.2,1.0954451150103324,7.833967884727234e-05,0.000170141674544373,0.0008031893936255878,0.0014666666666666667,0.0006671641573561983,0.687002344113593,Log Features,0.000979006739216151,90,91,67,75,False,True,near_zero
mouiwylisv_Mean_log,59.41503982543945,24.509173291034347,2.4,1.3416407864998738,-4.5136989429495064e-05,0.00022027811785851225,0.0008398721285584468,0.0016,0.00041856693274601464,0.687002344113593,Log Features,0.0009528130204348204,91,89,66,152,False,True,near_zero
avg6mou,45.84780044555664,21.707118199770143,2.2,0.8366600265340756,8.260669114194355e-05,0.00013464815576279648,0.0006480469125615743,0.0014666666666666667,0.000695975306799715,0.687002344113593,Original Features,0.0009368962953426519,92,105,67,74,False,True,near_zero
dwlltype_missing_ind,71.33111972808838,56.933926487574674,1.8,1.4832396974191326,9.100737159710715e-05,9.114555627772784e-05,0.0010101033644733656,0.0012000000000000001,0.0005518237919496802,0.687002344113593,Missing Indicators,0.0009206423854743487,93,84,69,66,False,True,near_zero
roam_Mean_capped,39.88839988708496,23.694217388566774,2.2,1.3038404810405297,9.880800344828078e-05,7.397993673668955e-05,0.000564109360200057,0.0014666666666666667,0.0006057027417783566,0.687002344113593,Winsorized Features,0.0008788262562150268,94,112,67,63,False,True,near_zero
