feature,gain_importance_mean,gain_importance_std,split_importance_mean,split_importance_std,perm_importance_mean,perm_importance_std,gain_importance_norm_mean,split_importance_norm_mean,perm_importance_norm_mean,validation_roc_auc_mean,feature_family,consolidated_score,consolidated_rank,gain_rank,split_rank,perm_rank,is_zero_importance,is_near_zero_importance,importance_bucket,in_low_value_tail,in_cluster,cluster_theme,cluster_role,selection_action,selection_reason,selected
drop_vce_Mean_log,100.35521812438964,20.435515709624923,3.0,0.7071067811865476,8.420682075248968e-05,0.0002674239384007,0.0014222715258283,0.002,0.0009347963592394,0.687002344113593,Log Features,0.0014523559616892,78,77,64,72,False,False,signal,False,False,none,none,keep,retained_signal,True
support_intensity,111.89387912750244,48.69562728001583,3.4,2.5099800796022267,9.3340893945489e-06,0.000103803077148,0.0015868703132192,0.0022666666666666,0.000278494476258,0.687002344113593,Engineered Features,0.0013773438187146,79,72,62,105,False,False,signal,False,False,none,none,keep,retained_signal,True
mou_cvce_Mean_log,101.6140007019043,81.3967536655527,3.2,2.280350850198276,-2.4135288291689724e-05,0.0001517563384582,0.001439688058537,0.0021333333333333,0.0002666593942315,0.687002344113593,Log Features,0.0012798935953673,80,76,63,141,False,False,signal,False,False,none,none,keep,retained_signal,True
ovrrev_Mean_log,103.52762126922607,33.15122493721651,3.0,1.5811388300841898,-0.0001114090241309,0.0001963209933477,0.0014677675272343,0.002,0.0002141631830367,0.687002344113593,Log Features,0.001227310236757,81,75,64,165,False,False,signal,False,False,none,none,keep,retained_signal,True
avgmou_log,71.54223976135253,11.789676441361044,3.0,0.7071067811865476,8.420682075246747e-05,0.0001192418317259,0.0010138080283082,0.002,0.0006034507417076,0.687002344113593,Log Features,0.0012057529233386,82,83,64,73,False,False,signal,False,False,none,none,keep,retained_signal,True
avg6qty,68.13380012512206,22.096614622976993,3.8,1.3038404810405295,-0.0001181429029084,0.0001625302751625,0.0009657331765581,0.0025333333333333,7.649446019051807e-05,0.687002344113593,Original Features,0.001191853656694,83,87,61,167,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
dualband,78.4302791595459,35.94006524787295,2.4,1.140175425099138,9.014063472475946e-05,0.000176099880892,0.0011122000425536,0.0016,0.0008481169924288,0.687002344113593,Original Features,0.0011867723449941,84,81,66,69,False,False,signal,False,False,none,none,keep,retained_signal,True
mou_rvce_Mean,69.99078006744385,41.59777406422688,3.4,2.1908902300206643,-7.207250453953318e-05,0.000235199879963,0.0009900254764453,0.0022666666666666,0.0002856135492742,0.687002344113593,Original Features,0.0011807685641287,85,86,62,159,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
adjrev_log,63.47689971923828,14.162264104941569,3.2,0.4472135954999578,5.6404568770044664e-05,0.0001216012419398,0.0008988933197984,0.0021333333333333,0.0004925295871012,0.687002344113593,Log Features,0.0011749187467443,86,88,63,82,False,False,signal,False,False,none,none,keep,retained_signal,True
blck_vce_Mean,56.82378044128418,22.2295392066889,3.0,1.0,6.813885258036834e-05,0.0001248014013448,0.0008045063509398,0.002,0.0005682242842738,0.687002344113593,Original Features,0.0011242435450712,87,90,64,78,False,False,signal,False,True,quality,redundant,drop,cluster_redundant,False
adjmou,70.92416019439698,31.455763196952542,2.8,1.0954451150103324,-2.7268875445588903e-05,0.0001560835668173,0.001004658704774,0.0018666666666666,0.0002957454836716,0.687002344113593,Original Features,0.0010556902850374,88,85,65,143,False,False,signal,False,True,revenue,redundant,drop,cluster_redundant,False
callwait_Mean,54.81907997131348,38.30790031927313,3.0,2.1213203435596424,-3.1135855337619904e-05,0.0001544708128732,0.0007740096897246,0.0019999999999999,0.0002207404797339,0.687002344113593,Original Features,0.0009982500564861,89,94,64,144,False,True,near_zero,True,False,none,none,drop,near_zero_importance,False
totrev_log,56.65437984466553,21.13952033018722,2.2,1.0954451150103324,7.833967884727234e-05,0.0001701416745443,0.0008031893936255,0.0014666666666666,0.0006671641573561,0.687002344113593,Log Features,0.0009790067392161,90,91,67,75,False,True,near_zero,True,False,none,none,drop,near_zero_importance,False
mouiwylisv_Mean_log,59.41503982543945,24.509173291034347,2.4,1.3416407864998738,-4.5136989429495064e-05,0.0002202781178585,0.0008398721285584,0.0016,0.000418566932746,0.687002344113593,Log Features,0.0009528130204348,91,89,66,152,False,True,near_zero,True,False,none,none,drop,near_zero_importance,False
avg6mou,45.84780044555664,21.707118199770143,2.2,0.8366600265340756,8.260669114194355e-05,0.0001346481557627,0.0006480469125615,0.0014666666666666,0.0006959753067997,0.687002344113593,Original Features,0.0009368962953426,92,105,67,74,False,True,near_zero,True,True,usage,redundant,drop,near_zero_importance,False
dwlltype_missing_ind,71.33111972808838,56.933926487574674,1.8,1.4832396974191326,9.100737159710716e-05,9.114555627772784e-05,0.0010101033644733,0.0012,0.0005518237919496,0.687002344113593,Missing Indicators,0.0009206423854743,93,84,69,66,False,True,near_zero,True,False,none,none,drop,near_zero_importance,False
roam_Mean_capped,39.88839988708496,23.694217388566777,2.2,1.3038404810405295,9.880800344828078e-05,7.397993673668955e-05,0.0005641093602,0.0014666666666666,0.0006057027417783,0.687002344113593,Winsorized Features,0.000878826256215,94,112,67,63,False,True,near_zero,True,False,none,none,drop,near_zero_importance,False
adjqty_log,42.574899673461914,27.009229661326636,1.2,0.8366600265340756,0.0001628131878682,0.0003076521834647,0.0006016276342338,0.0008,0.001195694734225,0.687002344113593,Log Features,0.0008657741228196,95,109,72,52,False,True,near_zero,True,False,none,none,drop,near_zero_importance,False
totmou,48.01909999847412,29.83320673704005,2.4,1.3416407864998738,-7.400599448585213e-06,7.867247416327937e-05,0.0006800090571301,0.0016,0.000148888004359,0.687002344113593,Original Features,0.0008096323538297,96,101,66,127,False,True,near_zero,True,True,revenue,redundant,drop,near_zero_importance,False
