trial_number,value,train_roc_auc_mean,validation_roc_auc_mean,roc_auc_gap_mean,accuracy_mean_validation,precision_mean_validation,recall_mean_validation,f1_mean_validation,fold_1_train_roc_auc,fold_1_validation_roc_auc,fold_2_train_roc_auc,fold_2_validation_roc_auc,fold_3_train_roc_auc,fold_3_validation_roc_auc,fold_4_train_roc_auc,fold_4_validation_roc_auc,fold_5_train_roc_auc,fold_5_validation_roc_auc,learning_rate,num_leaves,max_depth,min_child_samples,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,min_split_gain
41,0.6931682340377281,0.7830046071126384,0.6931682340377281,0.0898363730749103,0.63688,0.6311826171700938,0.6430935987318891,0.6370712334591516,0.7824213100548875,0.6891341405630992,0.7833122861606046,0.696323904756351,0.7842840698740997,0.6918657480835316,0.7830530881270598,0.6929344808461968,0.7819522813465406,0.6955828959394615,0.1645946045544701,70,12,17,0.8091695756212938,0.8945002417159371,0,2.4104919313557545e-05,0.0180942528662556,0.4419618931728312
15,0.6931321725944095,0.7780318850728118,0.6931321725944095,0.0848997124784023,0.6376299999999999,0.6322865885588749,0.642508402602236,0.6373440730689317,0.7782793867492044,0.6899509123845584,0.7774308676627042,0.6973663336577947,0.7783137783986587,0.6927641176532711,0.7783247342374651,0.6931357264306548,0.7778106583160274,0.6924437728457691,0.1889215094840022,60,12,48,0.8803449213216965,0.6750626900311046,0,0.0043050809636296,1.880831914173213e-05,0.0782712045459494
23,0.6930432569860047,0.7755542609331332,0.6930432569860047,0.0825110039471285,0.6365999999999999,0.6307390739418354,0.6436383135376239,0.6371090415425644,0.7761818074217851,0.6913728800132881,0.7751452160411009,0.6980094523354472,0.7756754735909468,0.6897542945725718,0.7760331581636719,0.693565179687515,0.774735649448161,0.6925144783212012,0.1457421524513663,70,12,20,0.7950806822365768,0.9916728164886778,0,2.4272201247918823e-05,0.0170080286949503,0.424846322558455
71,0.6929920442825473,0.776608404791941,0.6929920442825473,0.0836163605093937,0.6369499999999999,0.6308324790767597,0.6448893488767939,0.6377690168461306,0.7757539100984238,0.6892449889532137,0.7772954378595248,0.6965303303807066,0.7773437806957095,0.6919597053595831,0.7768532922051845,0.6934722824935562,0.7757956031008624,0.6937529142256775,0.1020967169186743,98,12,23,0.7203245789010028,0.6003074040199494,0,0.0029344518955807,0.4999974638568988,0.4217719743582366
81,0.692979626824763,0.7973018912860609,0.692979626824763,0.1043222644612978,0.63749,0.6318118910406082,0.6436989032182897,0.6376884761796724,0.7975257662324534,0.6913079450983646,0.7971676367812619,0.6958850215372802,0.7979682600699116,0.6911639537365775,0.7967192475673919,0.6936554266762418,0.7971285457792862,0.6928857870753511,0.1195168580266786,113,12,35,0.6942037435702677,0.6072496755333501,0,0.0017942938642036,0.1036214584873158,0.4538678228253769
46,0.6929657462475293,0.7585305210551649,0.6929657462475293,0.0655647748076356,0.6378199999999999,0.6310929070906709,0.648077090298185,0.6394628258715607,0.7586359373163208,0.6897399164142735,0.7577651658913769,0.6960311125949123,0.7589257852554336,0.6899490196520819,0.7586180557573939,0.6937848767008518,0.7587076610552995,0.6953238058755269,0.0863420768981659,82,-1,11,0.7753854092608974,0.9410921772490688,1,1.1671429356489655e-06,0.0014690885200463,0.4990955641100109
53,0.6927971419499348,0.7383508617720901,0.6927971419499348,0.0455537198221552,0.6386,0.6318004224459972,0.6490859541774536,0.6403229624813703,0.7389580339804652,0.689562292969955,0.7378948696161447,0.6968969581307609,0.7384364546660602,0.6897548846182648,0.7386939443801167,0.6934351246160502,0.7377710062176634,0.6943364494146428,0.1099244360751224,47,12,22,0.768895290607617,0.9251025758387066,2,8.693940586420284e-05,0.2133571532436537,0.4851933149498379
78,0.6927918992720167,0.7937146664332514,0.6927918992720167,0.1009227671612347,0.6373000000000001,0.6321185257492544,0.6416408040509333,0.6368304457656746,0.7937650294658719,0.6895416114045672,0.7935856415903935,0.6976945685018898,0.7949063450170404,0.6910462446211835,0.7940263832699692,0.6932442998385795,0.7922899328229818,0.6924327719938632,0.1852574084876072,86,9,30,0.7086439599064823,0.6160567885523827,0,0.0211543282196768,4.38499531934981,0.4364226607379625
22,0.6927686452876427,0.7510949134845705,0.6927686452876427,0.0583262681969277,0.63663,0.6298638010045959,0.6471085957922709,0.6383625583992142,0.7514627849791076,0.6898863274961282,0.7510223132500091,0.6978743821119819,0.7510949207048665,0.6900739993305082,0.751116099513869,0.6932049667926284,0.7507784489749996,0.6928035507069668,0.0912870832505012,76,12,37,0.7844707023078049,0.7468263407479248,0,2.001925298378091e-05,5.12600774980234,0.423623323913381
90,0.6926417201051873,0.8119440700600398,0.6926417201051873,0.1193023499548524,0.63771,0.6323389470517486,0.6427706498514477,0.6375000692867072,0.8141992613519987,0.6925585897596588,0.8109610901357912,0.6962117462670749,0.8108307095386991,0.690094280901113,0.8124090725696185,0.6921747120096979,0.8113202167040914,0.6921692715883918,0.1536852578584354,122,12,73,0.7543638359107468,0.6357836026582044,0,0.0088241561328997,2.608081601203931,0.4040776231535831
59,0.6923348706919844,0.7511700878711904,0.6923348706919844,0.058835217179206,0.6373800000000001,0.631242095064184,0.6453533290067494,0.6382134280497374,0.7522371871085556,0.688798635168696,0.7503173099018107,0.6961167990805225,0.7510084522096223,0.690343900231634,0.751254373537974,0.6925522962498215,0.7510331165979895,0.6938627227292481,0.1143998074743029,65,-1,18,0.7241272721632716,0.6397710479129386,2,0.0001896461011538,3.0802231211633004,0.447326205353312
44,0.6922933361465103,0.755461766427076,0.6922933361465103,0.0631684302805656,0.63658,0.6297091115436892,0.6475122304973364,0.6384739764079546,0.7556484035243516,0.6892220572175108,0.7544581165590114,0.6966334881887211,0.7561656954985616,0.689027118260038,0.7553305796850072,0.6929000181774077,0.7557060368684477,0.6936839988888739,0.1005045505823746,71,9,25,0.8446852516763703,0.8824921465367881,0,0.0001035965402115,0.042260151864745,0.3960932162341547
